Country,Clicks,Impressions,CTR,Position
United States,3,373,0.8%,11.8
Romania,1,3,33.33%,1
Philippines,1,2,50%,6
Canada,0,8,0%,3.75
Italy,0,4,0%,5.5
Hungary,0,3,0%,1
Pakistan,0,3,0%,5.33
Vietnam,0,2,0%,4
United Kingdom,0,2,0%,5
India,0,2,0%,10
Brazil,0,2,0%,12.5
New Zealand,0,1,0%,1
Japan,0,1,0%,20
Nicaragua,0,1,0%,59
