"Reason","Source
","Validation","Trend","Pages"
"Page with redirect","Website","
Not Started","","7"
"Excluded by ‘noindex’ tag","Website","
Not Started","","1"
"Blocked by robots.txt","Website","
Not Started","","1"
"Discovered - currently not indexed","Google systems","
Not Started","","32"
"Crawled - currently not indexed","Google systems","
Not Started","","30"
